encoder,source,class_index,class_name,distinctiveness,top1_competitor,top1_similarity,top2_competitor,top2_similarity,top1_top2_gap
all-mpnet-base-v2,Name,1,Drink water,0.7166931,Put on a hat/cap,0.300195,Eat meal/snack,0.29283956,0.0073554516
all-mpnet-base-v2,Name,2,Eat meal/snack,0.73056364,Drink water,0.29283956,Nausea or vomiting,0.28296694,0.009872615
all-mpnet-base-v2,Name,3,Brushing teeth,0.59617615,Brushing hair,0.75142336,Wiping face,0.44969738,0.30172598
all-mpnet-base-v2,Name,4,Brushing hair,0.61518216,Brushing teeth,0.75142336,Wiping face,0.3667491,0.38467425
all-mpnet-base-v2,Name,5,Drop,0.6150323,Throw,0.48708314,Falling,0.409082,0.07800114
all-mpnet-base-v2,Name,6,Pickup,0.6955377,Drop,0.39987406,Jumping up,0.29618686,0.1036872
all-mpnet-base-v2,Name,7,Throw,0.6392573,Drop,0.48708314,Kicking something,0.36937425,0.11770889
all-mpnet-base-v2,Name,8,Sitting down,0.5500159,Standing up (from sitting position),0.59293365,Falling,0.4343928,0.15854084
all-mpnet-base-v2,Name,9,Standing up (from sitting position),0.57021093,Sitting down,0.59293365,Jumping up,0.5235089,0.06942475
all-mpnet-base-v2,Name,10,Clapping,0.47833312,Handshaking,0.59796214,Hand waving,0.5704864,0.027475715
all-mpnet-base-v2,Name,11,Reading,0.64654076,Writing,0.57217854,Sitting down,0.37267607,0.19950247
all-mpnet-base-v2,Name,12,Writing,0.5963249,Reading,0.57217854,Typing on a keyboard,0.44621557,0.12596297
all-mpnet-base-v2,Name,13,Tear up paper,0.6707313,Using a fan (with hand or paper),0.4274573,Wiping face,0.3394541,0.08800319
all-mpnet-base-v2,Name,14,Wear jacket,0.5332614,Take off jacket,0.75056624,Put on a hat/cap,0.4652463,0.28531995
all-mpnet-base-v2,Name,15,Take off jacket,0.42601085,Wear jacket,0.75056624,Take off a hat/cap,0.5746044,0.17596185
all-mpnet-base-v2,Name,16,Wear a shoe,0.5343828,Take off a shoe,0.72137487,Wear jacket,0.43306357,0.2883113
all-mpnet-base-v2,Name,17,Take off a shoe,0.4572872,Wear a shoe,0.72137487,Take off jacket,0.5489329,0.17244196
all-mpnet-base-v2,Name,18,Wear on glasses,0.655236,Take off glasses,0.6197225,Wear a shoe,0.32668722,0.29303527
all-mpnet-base-v2,Name,19,Take off glasses,0.47013485,Wear on glasses,0.6197225,Take off a hat/cap,0.53339934,0.08632314
all-mpnet-base-v2,Name,20,Put on a hat/cap,0.4290505,Take off a hat/cap,0.84620595,Take off glasses,0.5248542,0.32135177
all-mpnet-base-v2,Name,21,Take off a hat/cap,0.40123117,Put on a hat/cap,0.84620595,Take off jacket,0.5746044,0.27160156
all-mpnet-base-v2,Name,22,Cheer up,0.7551844,Put on a hat/cap,0.2801367,Shake head,0.2762032,0.003933519
all-mpnet-base-v2,Name,23,Hand waving,0.4202065,Handshaking,0.6514294,Clapping,0.5704864,0.08094299
all-mpnet-base-v2,Name,24,Kicking something,0.44468367,Kicking other person,0.78010005,Jumping up,0.5289101,0.25118995
all-mpnet-base-v2,Name,25,Reach into pocket,0.51824623,Touching other person's pocket,0.6745672,Pointing to something with finger,0.4844935,0.19007373
all-mpnet-base-v2,Name,26,Hopping (one foot jumping),0.504389,Jumping up,0.7047201,Kicking something,0.5223,0.18242007
all-mpnet-base-v2,Name,27,Jumping up,0.45659745,Hopping (one foot jumping),0.7047201,Kicking something,0.5289101,0.17580998
all-mpnet-base-v2,Name,28,Make a phone call/Answer phone,0.67721784,Playing with phone/tablet,0.36749583,Reach into pocket,0.34810537,0.019390464
all-mpnet-base-v2,Name,29,Playing with phone/tablet,0.6763474,Typing on a keyboard,0.4219535,Make a phone call/Answer phone,0.36749583,0.054457664
all-mpnet-base-v2,Name,30,Typing on a keyboard,0.61643183,Writing,0.44621557,Playing with phone/tablet,0.4219535,0.02426207
all-mpnet-base-v2,Name,31,Pointing to something with finger,0.48291296,Pointing finger at the other person,0.71097183,Hand waving,0.5532201,0.15775174
all-mpnet-base-v2,Name,32,Taking a selfie,0.65513074,Sitting down,0.40108025,Handshaking,0.33900177,0.062078476
all-mpnet-base-v2,Name,33,Checking time (from watch),0.8182344,Wear a shoe,0.19196182,Eat meal/snack,0.18805678,0.003905043
all-mpnet-base-v2,Name,34,Rubbing two hands together,0.46134984,Handshaking,0.5531854,Hand waving,0.5469253,0.006260097
all-mpnet-base-v2,Name,35,Nod headbow,0.5510154,Shake head,0.60839057,Hand waving,0.46971366,0.13867691
all-mpnet-base-v2,Name,36,Shake head,0.46574628,Nod headbow,0.60839057,Hand waving,0.55518264,0.053207934
all-mpnet-base-v2,Name,37,Wiping face,0.6326755,Brushing teeth,0.44969738,Brushing hair,0.3667491,0.08294827
all-mpnet-base-v2,Name,38,Salute,0.61962605,Hand waving,0.43443096,Clapping,0.42022562,0.014205337
all-mpnet-base-v2,Name,39,Putting the palms together,0.6744112,Rubbing two hands together,0.44176555,Handshaking,0.34160447,0.100161076
all-mpnet-base-v2,Name,40,Crossing hands in front (saying stop),0.47620207,Hand waving,0.56864905,Handshaking,0.56108403,0.0075650215
all-mpnet-base-v2,Name,41,Sneeze/cough,0.64782286,Touching neck (neckache),0.38134417,Put on a hat/cap,0.36575717,0.015587002
all-mpnet-base-v2,Name,42,Staggering,0.64906144,Falling,0.4151069,Kicking something,0.370825,0.0442819
all-mpnet-base-v2,Name,43,Falling,0.56853294,Jumping up,0.4794276,Sitting down,0.4343928,0.045034796
